Rank,Afrikaans_pattern,Afrikaans_count,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Faroese_pattern,Faroese_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hebrew_pattern,Hebrew_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Irish_pattern,Irish_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Komi_Zyrian_pattern,Komi_Zyrian_count,Korean_pattern,Korean_count,Nenets_pattern,Nenets_count,Norwegian_pattern,Norwegian_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Sanskrit_pattern,Sanskrit_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Tagalog_pattern,Tagalog_count,Tamil_pattern,Tamil_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count,Uzbek_pattern,Uzbek_count,Vietnamese_pattern,Vietnamese_count,Yakut_pattern,Yakut_count
1,case-det,2201,case-obl,1571,obj-punct,925,case-obl,641,case-det,913,nsubj-cop,523,obl-punct,467,case-det,1785,case-det,1705,case-det,1133,case-obl,7414,obl-case,1561,case-obl,842,case-obl,972,case-obl,656,case-det,2016,nmod-case,1912,root-punct,9,root-punct,771,root-punct,144,root-punct,342,case-det,1877,nmod-punct,822,root-punct,102,case-det,1776,case-nmod,798,case-nsubj,85,nmod-nmod,134,case-obl,1192,root-punct,611,root-punct,396,case-obl,355,obj-root,90
2,det-amod,934,case-nmod,1060,nmod-case,561,nmod-punct,592,case-nmod,579,root-punct,505,nsubj-root,336,det-nmod,889,case-nmod,886,det-amod,737,case-nmod,5683,nmod-case,1078,case-nmod,705,case-nmod,641,punct-parataxis,638,det-nmod,937,nsubj-case,1480,nsubj-root,7,compound-compound,576,obl-case,62,case-obl,249,det-nmod,908,case-obl,818,nsubj-root,55,det-obl,915,case-obl,686,nsubj-punct,76,root-aux,66,case-nmod,877,nmod-obl,401,punct-punct,124,advmod-root,273,root-punct,73
3,det-nmod,797,nmod-nmod,657,punct-nsubj,364,amod-nmod,459,obl-punct,554,case-obl,491,cc-conj,297,det-obl,833,det-obl,807,det-obl,627,det-compound,3849,aux-punct,627,nmod-punct,516,nmod-punct,596,case-nmod,388,det-obl,913,obl-case,1428,cc-conj,7,compound-obl,510,advmod-root,45,discourse-punct,246,det-obl,809,obl-punct,491,conj-conj,46,case-nmod,899,det-amod,488,root-case,72,aux-punct,65,nsubj-acl,446,nmod-nmod,360,advcl-punct,82,nsubj-advmod,241,nsubj-root,51
4,det-obl,725,nmod-punct,654,nsubj-advmod,362,case-nmod,447,det-amod,550,obl-punct,362,obj-punct,281,case-nmod,740,det-nmod,765,det-nsubj,450,det-amod,2889,case-fixed,616,cc-conj,394,nmod-nmod,583,nmod-punct,362,det-nsubj,721,compound-compound,998,obj-punct,6,compound-nsubj,362,parataxis-punct,39,advmod-punct,224,case-nmod,791,amod-nmod,483,nsubj-advmod,40,det-nmod,765,obl-punct,463,obj-case,42,nmod-obl,54,acl-obj,429,nsubj-punct,316,obl-advcl,81,nsubj-root,224,obl-root,42
5,det-obj,721,nmod-amod,625,compound-nsubj,354,case-amod,412,nmod-punct,495,case-nmod,318,nmod-obl,265,det-nsubj,720,det-nsubj,703,det-nmod,446,case-det,2520,case-obj,561,obl-punct,374,obl-nmod,421,vocative-punct,361,case-nmod,670,aux-punct,838,root-obj,5,obl-acl,326,nmod-obl,38,obl-punct,161,det-nsubj,719,case-amod,459,advmod-root,36,det-nsubj,723,obj-case,350,case-obj,39,nmod-obj,48,compound-compound,381,punct-nmod,252,nmod-obl,79,obj-punct,218,advmod-root,41
6,case-nmod,710,obl-nmod,602,compound-obj,354,amod-obl,332,case-obl,456,root-case,279,punct-mark,229,det-obj,639,nmod-punct,556,case-obl,341,compound-punct,2323,case-obl,442,obj-case,282,nsubj-acl,394,obl-punct,340,nmod-punct,535,obj-case,823,obl-root,4,nsubj-compound,262,obj-root,28,nsubj-root,153,nmod-punct,616,case-nmod,395,nmod-nmod,36,obl-case,575,nmod-punct,341,case-obl,24,nmod-nsubj,47,xcomp-obj,372,nmod-nsubj,244,punct-nsubj,78,punct-punct,191,nsubj-advmod,36
7,cc-conj,699,root-nsubj,510,compound-compound,327,obl-punct,320,nsubj-aux,412,cop-root,254,punct-nsubj,221,nmod-punct,580,det-obj,519,det-obj,331,amod-punct,2128,root-aux,418,mark-nsubj,268,punct-nsubj,374,parataxis-vocative,327,det-obj,521,case-compound,823,punct-cc,4,obj-acl,259,case-root,25,advmod-advmod,148,det-obj,484,amod-obl,377,nmod-obl,35,nmod-punct,549,case-det,332,root-obj,18,root-punct,46,cc-conj,354,amod-nmod,234,nsubj-obl,72,punct-nsubj,178,nsubj-obj,36
8,nmod-case,670,nmod-case,508,case-obl,265,cc-conj,306,obj-case,367,nsubj-root,194,root-punct,197,obl-punct,500,obl-case,511,root-punct,321,nmod-punct,1991,case-amod,403,nmod-case,265,cc-conj,348,det-nmod,285,nmod-case,486,case-root,765,advcl-punct,4,obj-advcl,259,advmod-advmod,25,advmod-root,134,obl-case,480,nsubj-root,330,advmod-nsubj,34,case-obl,499,nsubj-root,320,nsubj-case,15,nsubj-root,40,obj-compound,331,obj-root,231,compound-punct,70,root-obj,167,discourse-punct,34
9,obl-case,563,amod-case,507,case-compound,264,punct-mark,300,obl-case,341,amod-nsubj,187,conj-punct,193,nmod-case,466,nmod-case,494,case-nmod,318,cc-conj,1951,amod-obl,365,nsubj-root,263,nsubj-nmod,339,vocative-vocative,280,obl-case,470,aux-aux,758,conj-punct,3,obl-advcl,259,obl-root,22,expl-cop,131,nmod-case,462,cc-conj,293,nmod-nsubj,33,nmod-case,475,cc-conj,311,root-nsubj,15,obl-case,39,compound-case,318,nmod-obj,227,advcl-root,65,nmod-punct,166,nsubj-obl,24
10,case-obl,562,cc-conj,495,punct-advmod,260,amod-nsubj,288,nmod-case,330,nsubj-case,185,amod-nmod,191,obl-case,431,case-obl,447,obj-case,300,amod-case,1915,case-nmod,362,case-amod,250,obj-nmod,283,nmod-case,272,case-obl,450,case-acl,742,orphan-punct,3,acl-nsubj,247,discourse-advmod,19,root-nsubj,124,case-obl,451,amod-nsubj,272,advmod-nmod,30,obl-punct,448,obl-case,310,obl-punct,14,punct-nmod,38,root-obj,298,cop-punct,199,xcomp-root,61,obl-punct,166,det-nsubj,23
